0,09375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,09375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,1252717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,1252717;0;0;0;0;0;0;0;0,3333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,3960552;0;0;0;0;0;0;0;0,4;0;0;1;0;0;0;0;0;0;0,3333333;0,3333333;0;0;0;0;0;0,3333333;0;0;0;0
0,8752394;0,3333333;0,4;0,3333333;0,3333333;1;0;1;0;0,4;0,3333333;0,3333333;0;0,4;0,3333333;0;0;0;0,4;0;0;0,3333333;1;0;0;0;0;0,3333333;0;0
0,8752394;1;1;1;0;0;0;0,25;0,6;0;0,3333333;0,3333333;1;0,25;0,3333333;0;0;1;0;0,4;0,3333333;0,6;0;1;0;0,3333333;0,3333333;0,3333333;1;0,6
0,8752394;1;1;1;1;0,3333333;0;1;0,5;0;1;0,3333333;0,5;0,3333333;1;0,6;1;1;0,3333333;1;0,25;1;1;1;1;0,5;1;1;0;0
0,8753474;1;1;1;0,25;1;0,5;0;1;0,3333333;0;1;0;0;1;0;0;0,4;0;0,2;1;0;0,3333333;1;0;0,25;1;1;0;1
0,8753474;1;1;1;0;0,25;0;0;0,25;0,5;0;0;0;0;0,3333333;0,3333333;1;1;0;1;1;0,3333333;1;1;0;0;0;0,3333333;1;1
0,8753479;1;1;1;0,3333333;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0,3333333;1;1;1;1;1;1;0;0
0,8753479;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0,25;0;0;0,5;1;1
0,9971906;1;1;1;0;1;1;1;1;0;1;0,25;1;1;1;0;0;1;1;0;1;0;1;0;0,3333333;1;1;0;0;0,5
0,9971906;1;1;1;0;1;0;0;1;0,5;1;1;1;1;1;1;1;1;0;0,3333333;0;0,4;0,5;0,5;1;1;0,5;0;0;0,5
0,9971906;1;1;1;1;1;1;0,5;1;0,5;0,4;1;0,5;0,5;1;1;1;1;0,5;0,5;0;1;1;1;1;1;0;1;0;0
0,9971906;1;1;1;1;0,5;0,5;1;1;1;1;1;1;1;1;0;0,3333333;0;0;1;0,5;0;0,5;0,5;0;0;0;0,5;1;0
0,9971906;1;1;1;0,5;1;1;0,5;1;0;1;0,6;0;1;0;1;0,3333333;1;0;1;1;0,5;1;0;0;1;0;0,5;0,5;0
0,9971906;1;1;1;1;0;1;0,5;0,5;1;0,5;0;0,5;0,5;0,5;0,3333333;1;1;0,5;0,5;0;0,6666667;1;0,3333333;1;0,3333333;1;0,5;1;0
0,9971906;1;1;1;0,5;0,5;0,5;0;0,5;1;1;0;0,5;0,25;0,5;1;1;1;0;1;1;0;0;0;0,5;1;0;1;0;1
0,9971906;1;1;1;0,3333333;0;1;0;0;0,6666667;0,5;0;0;0,3333333;0,5;1;1;0;0;0,5;0;1;0;0;0;0;1;1;0;1
